(i.j.k),X-axis,Y-axis,Z-axis,V.x,V.y,V.z,crease_j(i+1/2.j),crease_i(I.j+1/2),x0,y0,z0,boomFlag,alphai0,alphaj0,,,,,,,,,,,boomFlag[srpforcrease],,,,
(0.0.0),0,0,0,0,0,0,0,0,0,0,0,1,3.141592654,3.141592654,,0,0,0,,0,0,,1,,1,,0,0,0
(0.1.0),0,0.050000001,-5.75E-11,0,-1.31E-19,-2.52E-10,0,0,0,0.05,0,0,3.141592654,3.141592654,,0,0.055555556,0,,0,0,,0,,0,,1.05E-06,0.055555356,-0.000251308
(0.2.0),4.47E-21,0.100000001,-5.75E-11,2.68E-20,5.88E-23,-2.52E-10,0,0,0,0.1,0,0,3.141592654,3.141592654,,0,0.111111111,0,,0,0,,0,,0,,4.71E-06,0.111110623,-0.000536422
(0.3.0),-1.88E-20,0.150000006,-5.75E-11,-2.08E-19,6.22E-20,-2.51E-10,0,0,0,0.15,0,0,3.141592654,3.141592654,,0,0.166666667,0,,0,0,,0,,0,,1.15E-05,0.166666573,-0.000627906
(0.4.0),3.40E-19,0.199949995,-3.01E-11,9.09E-18,1.55E-14,-1.26E-10,0,0,0,0.2,0,0,3.141592654,3.141592654,,0,0.222222222,0,,0,0,,0,,0,,2.11E-05,0.222221996,-0.000839204
(0.5.0),3.53E-19,0.200000003,-6.70E-14,8.89E-18,1.63E-17,-2.86E-13,0,0,0,0.25,0,0,3.141592654,3.141592654,,0,0.277777778,0,,0,0,,0,,0,,2.90E-05,0.277777447,-0.001012738
(0.6.0),3.39E-19,0.200049996,-3.01E-11,8.84E-18,-1.55E-14,-1.26E-10,0,0,0,0.3,0,0,3.141592654,3.141592654,,0,0.333333333,0,,0,0,,0,,0,,3.52E-05,0.333333001,-0.00114701
(0.7.0),-1.57E-20,0.25,-5.75E-11,-1.66E-19,-6.22E-20,-2.51E-10,0,0,0,0.35,0,0,3.141592654,3.141592654,,0,0.388888889,0,,0,0,,0,,0,,3.99E-05,0.388888637,-0.00124251
(0.8.0),-1.88E-20,0.300000012,-5.75E-11,-2.09E-19,3.50E-26,-2.52E-10,0,0,0,0.4,0,0,3.141592654,3.141592654,,0,0.444444444,0,,0,0,,0,,0,,4.29E-05,0.444444309,-0.001299638
(0.9.0),-1.88E-20,0.349999994,-5.75E-11,-2.08E-19,6.22E-20,-2.51E-10,0,0,0,0.45,0,0,3.141592654,3.141592654,,0,0.5,0,,0,0,,0,,0,,4.39E-05,0.499999999,-0.001318651
(0.10.0),3.40E-19,0.399949998,-3.01E-11,9.09E-18,1.55E-14,-1.26E-10,0,0,0,0.5,0,0,3.141592654,3.141592654,,0,0.555555556,0,,0,0,,0,,0,,4.29E-05,0.555555719,-0.001299641
(0.11.0),3.54E-19,0.400000006,-6.70E-14,8.65E-18,-1.17E-21,-2.86E-13,0,0,0,0.55,0,0,3.141592654,3.141592654,,0,0.611111111,0,,0,0,,0,,0,,3.99E-05,0.611111362,-0.001242518
(0.12.0),3.40E-19,0.400050014,-3.01E-11,8.92E-18,-1.55E-14,-1.26E-10,0,0,0,0.6,0,0,3.141592654,3.141592654,,0,0.666666667,0,,0,0,,0,,0,,3.52E-05,0.666667028,-0.001147025
(0.13.0),-1.57E-20,0.449999988,-5.75E-11,-1.66E-19,-6.22E-20,-2.51E-10,0,0,0,0.65,0,0,3.141592654,3.141592654,,0,0.722222222,0,,0,0,,0,,0,,2.90E-05,0.722222552,-0.00101276
(0.14.0),-1.88E-20,0.5,-5.75E-11,-2.09E-19,-3.50E-26,-2.52E-10,0,0,0,0.7,0,0,3.141592654,3.141592654,,0,0.777777778,0,,0,0,,0,,0,,2.11E-05,0.777778019,-0.000839235
(0.15.0),-1.88E-20,0.550000012,-5.75E-11,-2.08E-19,6.22E-20,-2.51E-10,0,0,0,0.75,0,0,3.141592654,3.141592654,,0,0.833333333,0,,0,0,,0,,0,,1.15E-05,0.833333412,-0.000627945
(0.16.0),3.43E-19,0.599950016,-3.01E-11,8.73E-18,1.55E-14,-1.26E-10,0,0,0,0.8,0,0,3.141592654,3.141592654,,0,0.888888889,0,,0,0,,0,,0,,4.71E-06,0.888889385,-0.000536631
(0.17.0),3.57E-19,0.600000024,-6.70E-14,8.97E-18,4.43E-17,-2.86E-13,0,0,0,0.85,0,0,3.141592654,3.141592654,,0,0.944444444,0,,0,0,,0,,0,,1.05E-06,0.944444618,-0.000251411
(0.18.0),3.45E-19,0.600049973,-3.01E-11,9.33E-18,-1.56E-14,-1.26E-10,0,0,0,0.9,0,0,3.141592654,3.141592654,,0,1,0,,0,0,,1,,0,,0,1,0
(1.0.0),-1.57E-20,0.649999976,-5.75E-11,-1.66E-19,-6.22E-20,-2.51E-10,0,0,0,0.95,0,0,3.141592654,3.141592654,,0.055555556,0,0,,0,0,,0,,0,,0.055555188,8.24E-07,-0.00030305
(1.1.0),-1.88E-20,0.699999988,-5.75E-11,-2.09E-19,4.87E-33,-2.52E-10,0,0,0,1,0,1,3.141592654,3.141592654,,0.055555556,0.055555556,0,,0,0,,1,,1,,0.055555556,0.055555556,0
(1.2.0),-1.88E-20,0.75,-5.75E-11,-2.08E-19,6.22E-20,-2.51E-10,0,0,0.05,0,0,0,3.141592654,3.141592654,,0.055555556,0.111111111,0,,0,0,,0,,0,,0.055559403,0.111110154,-0.000423471
(1.3.0),3.40E-19,0.799950004,-3.01E-11,9.02E-18,1.55E-14,-1.26E-10,0,0,0.05,0.05,0,1,3.141592654,3.141592654,,0.055555556,0.166666667,0,,0,0,,0,,1,,0.055565523,0.166666316,-0.000288118
(1.4.0),3.53E-19,0.800000012,-6.70E-14,9.04E-18,-1.42E-26,-2.86E-13,0,0,0.05,0.1,0,0,3.141592654,3.141592654,,0.055555556,0.222222222,0,,0,0,,0,,0,,0.055576055,0.222221614,-0.000552279
(1.5.0),3.39E-19,0.80005002,-3.01E-11,8.79E-18,-1.55E-14,-1.26E-10,0,0,0.05,0.15,0,0,3.141592654,3.141592654,,0.055555556,0.277777778,0,,0,0,,0,,0,,0.055583761,0.277777105,-0.000682446
(1.6.0),-1.57E-20,0.850000024,-5.75E-11,-1.66E-19,-6.22E-20,-2.51E-10,0,0,0.05,0.2,0,0,3.141592654,3.141592654,,0.055555556,0.333333333,0,,0,0,,0,,0,,0.055589563,0.333332795,-0.00077105
(1.7.0),-1.88E-20,0.899999976,-5.75E-11,-2.09E-19,-5.88E-23,-2.52E-10,0,0,0.05,0.25,0,0,3.141592654,3.141592654,,0.055555556,0.388888889,0,,0,0,,0,,0,,0.055594132,0.388888548,-0.000833616
(1.8.0),4.47E-21,0.949999988,-5.75E-11,2.68E-20,1.31E-19,-2.52E-10,0,0,0.05,0.3,0,0,3.141592654,3.141592654,,0.055555556,0.444444444,0,,0,0,,0,,0,,0.055596996,0.444444279,-0.000871374
(1.9.0),0,1,0,0,0,0,0,0,0.05,0.35,0,0,3.141592654,3.141592654,,0.055555556,0.5,0,,0,0,,0,,0,,0.055597962,0.5,-0.000884012
(1.10.0),0.050000001,0,-5.75E-11,-1.31E-19,0,-2.52E-10,0,0,0.05,0.4,0,0,3.141592654,3.141592654,,0.055555556,0.555555556,0,,0,0,,0,,0,,0.055596996,0.55555575,-0.000871379
(1.11.0),0.050000001,0.050000001,0,0,0,0,0,0,0.05,0.45,0,0,3.141592654,3.141592654,,0.055555556,0.611111111,0,,0,0,,0,,0,,0.055594132,0.611111451,-0.000833637
(1.12.0),0.050000001,0.100000001,-1.04E-10,2.62E-20,-2.09E-19,-5.02E-10,0,0,0.05,0.5,0,0,3.141592654,3.141592654,,0.055555556,0.666666667,0,,0,0,,0,,0,,0.055589564,0.666667235,-0.000771082
(1.13.0),0.050000001,0.150000006,-1.04E-10,2.63E-20,1.47E-19,-5.01E-10,0,0,0.05,0.55,0,0,3.141592654,3.141592654,,0.055555556,0.722222222,0,,0,0,,0,,0,,0.055583762,0.722222895,-0.000682485
(1.14.0),0.050000001,0.199949995,-5.75E-11,-6.55E-18,1.03E-13,-2.52E-10,0,0,0.05,0.6,0,0,3.141592654,3.141592654,,0.055555556,0.777777778,0,,0,0,,0,,0,,0.055576056,0.777778401,-0.000552334
(1.15.0),0.050000001,0.200000003,-1.41E-13,1.77E-17,7.70E-17,-6.34E-13,0,0,0.05,0.65,0,0,3.141592654,3.141592654,,0.055555556,0.833333333,0,,0,0,,0,,0,,0.055565525,0.83333367,-0.000288166
(1.16.0),0.050000001,0.200049996,-5.75E-11,-6.51E-18,-1.03E-13,-2.52E-10,0,0,0.05,0.7,0,0,3.141592654,3.141592654,,0.055555556,0.888888889,0,,0,0,,0,,0,,0.055559405,0.888889854,-0.000423664
(1.17.0),0.050000001,0.25,-1.04E-10,-1.47E-19,-1.47E-19,-5.01E-10,0,0,0.05,0.75,0,0,3.141592654,3.141592654,,0.055555556,0.944444444,0,,0,0,,1,,0,,0.055555556,0.944444418,0
(1.18.0),0.050000001,0.300000012,-1.04E-10,-1.83E-19,7.84E-26,-5.02E-10,0,0,0.05,0.8,0,0,3.141592654,3.141592654,,0.055555556,1,0,,0,0,,0,,0,,0.055555188,0.999999176,-0.00030305
(2.0.0),0.050000001,0.349999994,-1.04E-10,-1.83E-19,1.47E-19,-5.01E-10,0,0,0.05,0.85,0,0,3.141592654,3.141592654,,0.111111111,0,0,,0,0,,0,,0,,0.111110382,1.72E-06,-0.000570378
(2.1.0),0.050000001,0.399949998,-5.75E-11,-6.55E-18,1.03E-13,-2.52E-10,0,0,0.05,0.9,0,0,3.141592654,3.141592654,,0.111111111,0.055555556,0,,0,0,,0,,0,,0.111110665,0.055556471,-0.000299061
(2.2.0),0.050000001,0.400000006,-1.41E-13,1.77E-17,-1.23E-19,-6.34E-13,0,0,0.05,0.95,0,1,3.141592654,3.141592654,,0.111111111,0.111111111,0,,0,0,,1,,1,,0.111111112,0.111111112,0
(2.3.0),0.050000001,0.400050014,-5.75E-11,-6.50E-18,-1.03E-13,-2.52E-10,0,0,0.05,1,0,0,3.141592654,3.141592654,,0.111111111,0.166666667,0,,0,0,,0,,0,,0.111118528,0.166665082,-0.000588861
(2.4.0),0.050000001,0.449999988,-1.04E-10,-1.47E-19,-1.47E-19,-5.01E-10,0,0,0.1,0,0,0,3.141592654,3.141592654,,0.111111111,0.222222222,0,,0,0,,0,,0,,0.111132173,0.222220775,-0.000339223
(2.5.0),0.050000001,0.5,-1.04E-10,-1.83E-19,-7.84E-26,-5.02E-10,0,0,0.1,0.05,0,0,3.141592654,3.141592654,,0.111111111,0.277777778,0,,0,0,,0,,0,,0.111139093,0.277776491,-0.00035772
(2.6.0),0.050000001,0.550000012,-1.04E-10,-1.83E-19,1.47E-19,-5.01E-10,0,0,0.1,0.1,0,1,3.141592654,3.141592654,,0.111111111,0.333333333,0,,0,0,,0,,1,,0.111144275,0.333332522,-0.000395121
